d(1~2),d(2~3),d(3~4),d(1~4),d(5~6),d(6~7),d(7~8),d(5~8),d(9~10),d(10~11),d(11~12),d(9~12),d(13~14),d(14~15),d(15~16),d(13~16),d(17~18),d(18~19),d(19~20),d(17~20),g(1~2),g(2~3),g(3~4),g(1~4),g(5~6),g(6~7),g(7~8),g(5~8),g(9~10),g(10~11),g(11~12),g(9~12),g(13~14),g(14~15),g(15~16),g(13~16),g(17~18),g(18~19),g(19~20),g(17~20),label
17.8045,15.6525,13.0384,45.1885,12.6491,15.0333,8.2462,11.4018,13.6015,19.105,5.099,12.083,12.3693,17.2627,5.099,11.1803,11.1803,11.7047,5,7.8102,-1.2727,-2,-13,-2.1579,-3,15,-4,3.6667,-3.25,9.5,-5,2.2,-4,5.6667,-5,2,-5.5,2.75,0,0.8333,6
18.6011,16.1555,13.0384,46.6154,13.1529,15.1327,8.0623,10.4403,13.3417,19.2354,6.3246,12.6491,11.4018,16.2788,5.3852,10.7703,11.4018,11.7047,5.099,7.8102,-1.3636,-2.5,-13,-2.3889,-6.5,7.5,-8,3.3333,-4.3333,6.3333,-3,3,-3.6667,5.3333,-2.5,2.5,-3.6667,2.75,-5,0.8333,6
17.8045,16.7631,13,45.8803,13.6015,15.1327,9.2195,11.7047,15.5242,19.2354,8.544,12.6491,14.5602,18.4391,8.544,13,13.6015,13,7.0711,10,-1.2727,-3.2,0,-2.6875,-3.25,7.5,-4.5,2.75,-3.75,6.3333,-2.6667,3,-3.5,4.5,-2.6667,2.4,-3.25,2.4,-7,0.75,6
17.4929,15.2971,13.0384,44.9222,14.3178,13.3417,10,10.8167,17.4642,18.6815,10.4403,12.53,18.6815,18.6815,10.4403,12.2066,15.5242,12.083,9.0554,9.434,-1.6667,-5,-13,-3.3077,-4.6667,4.3333,0,1.5,-4.25,3.6,-3.3333,1.8333,-3.6,3.6,-3.3333,1.4286,-3.75,2.2,-9,0.625,6
17,15.2971,13.0384,44.643,13.3417,13.6015,10.198,11.1803,16.4924,17.72,10.4403,12.53,17.72,17.72,10.4403,12.2066,14.8661,11.1803,9.2195,9.434,-1.875,-5,-13,-3.5833,-4.3333,3.25,-5,2,-4,3.4,-3.3333,1.8333,-3.4,3.4,-3.3333,1.4286,-2.8,2,-4.5,0.625,6
17.4642,16.1245,14.0357,47.0744,13.1529,13.6015,10.0499,11.1803,17.2627,18.6815,10.4403,12.083,17.2627,18.0278,10.4403,11.6619,14.3178,11.6619,9.0554,9.434,-2.2857,-8,-14,-4.6,-6.5,3.25,-10,2,-5.6667,3.6,-3.3333,2.2,-5.6667,2.8333,-3.3333,1.6667,-4.6667,1.6667,-9,0.625,6
17.088,14.1421,13,43.7379,12.1655,11.7047,10,10.8167,15.1327,17.088,9.2195,11.6619,15.1327,16.5529,9.2195,11.4018,14.3178,10.8167,8.0623,8.544,-2.6667,-7,0,-5.375,-6,2.75,0,1.5,-7.5,2.6667,-4.5,1.6667,-7.5,2.1429,-4.5,1.2857,-4.6667,1.5,-8,0.375,6
17.088,15.1327,14,45.7056,13.1529,13.6015,10.0499,11.1803,16.2788,17.72,10.198,12.53,16.2788,18.0278,10.0499,13.6015,14.3178,11.6619,8,9.8489,-2.6667,-7.5,0,-5.625,-6.5,3.25,-10,2,-5.3333,3.4,-5,1.8333,-5.3333,2.8333,-10,1.375,-4.6667,1.6667,0,0.4444,6
18.9737,15.0333,13,46.5296,12.1655,12.6491,9,10.8167,15.1327,17.088,9.2195,11.6619,15.1327,16.1555,9.0554,11.4018,13.1529,10.8167,7,8.544,-3,-15,0,-6.5714,-6,3,0,1.5,-7.5,2.6667,-4.5,1.6667,-7.5,2.5,-9,1.2857,-6.5,1.5,0,0.375,6
18.9737,15.0333,13.0384,46.3897,12.0416,12.083,10,10.8167,16.1245,17.088,10,12.8062,16.1245,16.5529,9,12.0416,14.1421,10.6301,8,9.2195,-3,-15,13,-7.6667,-12,2.2,0,1.5,-8,2.6667,0,1.25,-8,2.1429,0,0.8889,-7,1.1429,0,0.2222,6
19.9249,16.0312,12,47.5184,13.0384,12.6491,9,9.434,14.0357,16.1555,9.0554,11.6619,15.1327,16.1555,9.0554,12.7279,12.1655,10,7.0711,9.4868,-3.1667,-16,0,-6.7143,-13,3,0,1.6,-14,2.5,-9,1.6667,-7.5,2.5,9,1,-6,1.3333,7,0.3333,6
18.7883,15.1327,12.1655,45.607,13.1529,12.3693,10,10.2956,13.1529,15.5242,9.0554,12.083,12.1655,14.8661,8,12.2066,12.1655,10.2956,7,8.0623,-2.125,-7.5,-6,-3.6667,-6.5,4,0,1.8,-6.5,3.75,-9,2.2,-6,2.8,0,1.4286,-6,1.8,0,0.5714,6
15.6205,15.8114,12.1655,42.5441,11.1803,12.0416,8.0623,9.2195,13,17.2627,7,11.4018,11,15.2971,7,11.4018,11.0454,10.4403,6.3246,7.8102,-1.2,-3,-6,-2.2941,-5.5,12,-8,4.5,0,5.6667,0,3.6667,0,5,0,3.6667,-11,3.3333,3,0.8333,6
19.4165,20.8806,16.1245,55.3624,16.1245,16.0312,12.0416,12.1655,15.0333,23.3452,10.0499,18.4391,14.0357,20.8806,10,16.7631,14.0357,14.7648,7.2801,10,-1.4545,-3.3333,-8,-2.7368,-8,16,-12,6,-15,5.75,-10,4.5,14,3.3333,0,3.2,14,1.8571,3.5,0.75,6
23.3238,22.8035,17.1172,62.2977,16,18.1108,12,14.1421,17.0294,25.4951,9,17.4642,14.0357,21.8403,8,15.8114,14.0357,15.6525,7.6158,11.4018,-1.6667,-3.6667,-8.5,-2.95,0,9,0,7,17,5,0,4.25,14,3.5,0,3,14,2,2.3333,0.7778,6
21.095,21.8403,16.2788,58.5235,15,17.1172,12,14.1421,15,23.3452,9,17.4642,15.0333,21.587,8,14.5602,14.0357,15.2315,6.3246,9.2195,-1.6364,-3.5,-5.3333,-2.75,0,8.5,0,7,0,5.75,0,4.25,15,4.2,0,3.5,14,2.3333,3,0.8571,6
23.3238,22.561,15.1327,60.0833,14.0357,17.1172,11,14.0357,15.0333,22.3607,8,15.2971,13.1529,20.6155,6.0828,13.6015,12.1655,14.8661,6.3246,9.434,-1.6667,-4.4,-7.5,-3,14,8.5,0,14,15,5.5,0,5,6.5,4,6,3.25,6,2.8,3,1.6,6
23.2594,21.3776,16.0312,59.9083,16.1245,18.2483,12.0416,14.1421,15.2971,23.7697,8.0623,16.4924,13.3417,20.8806,7.6158,15.2315,12.3693,15.2315,7.2111,10.6301,-2.1,-5.25,-16,-3.8667,8,6,12,7,5,3.8333,8,4,4.3333,3.3333,2.3333,2.3333,4,2.3333,1.5,1.1429,6
17.2047,17.72,13.1529,47.1699,13,15.1327,10.0499,12.0416,13,20.2237,8.0623,15.5242,11.0454,17.4642,6.0828,12.6491,12,12.6491,5.3852,7.8102,-1.4,-3.4,-6.5,-2.5882,0,7.5,-10,12,0,6.6667,8,3.75,11,4.25,6,3,0,3,2.5,0.8333,6
19.8494,20.2485,16.1245,54.626,16.2788,18,12.0416,14.1421,15.0333,23.1948,10.0499,18.2483,15,21.3776,9,15.5242,15,15.8114,7.0711,9.2195,-1.1538,-2.7143,-8,-2.2727,-5.3333,0,-12,7,-15,7.6667,-10,6,0,5.25,0,3.75,0,3,7,1.1667,6
22.6716,23.4094,18.2483,62.6498,18.1108,20,12.1655,14,17.1172,25.0799,8.0623,16.2788,15,23.3452,7,15.5242,16.0312,15.8114,7.2801,8.4853,-1.1333,-2.75,-6,-2.1923,-9,0,-6,0,-8.5,12.5,-8,5.3333,0,5.75,0,3.75,16,3,3.5,1,6
22.6716,23.4094,16.7631,61.7171,17.4642,19.0263,13.3417,15,17.2627,25.02,9.0554,17.2627,16.1245,23.1948,9.0554,16.4924,16,15.5242,8.0623,8.6023,-1.1333,-2.75,-3.2,-1.9643,-4.25,-19,-4.3333,0,-5.6667,25,-9,5.6667,-8,7.6667,-9,4,0,3.75,8,1.4,6
22.6716,23.2594,17.4642,62.1772,15.5242,21.0238,10.4403,16,15.2971,27.074,5.3852,17.2627,13.0384,24.3311,6.0828,17.4642,15,16.7631,7.2801,10.6301,-1.1333,-2.1,-4.25,-1.8966,-3.75,-21,-3.3333,0,-5,13.5,-2.5,5.6667,-13,6,-6,4.25,0,3.2,3.5,1.1429,6
23.4307,22.4722,17.72,62.6099,15.2971,21.0238,9.2195,15,14.3178,26.0768,4.1231,16.4924,13.0384,23.1948,3,13.6015,11,16.4924,4.1231,10.2956,-1.2,-2.625,-3.4,-2,-5,-21,-4.5,0,-4.6667,13,-4,4,-13,7.6667,0,3.25,0,4,4,1.8,6
24.2074,23.4094,16.4924,63.0714,16.1245,21,10.198,15,14.1421,25.0799,4,15.5242,13.0384,22.3607,3,13,11.0454,15.8114,4.1231,9.434,-1.2667,-2.75,-4,-2.1111,-8,0,-5,0,-7,12.5,0,3.75,-13,5.5,0,2.4,11,3,4,1.6,6
24.4131,23.4094,18.6815,65.7951,15.2971,21,8.2462,14.0357,15.2971,26.0768,2.2361,13.6015,11.0454,22.561,2.2361,13.9284,12,16.1555,4,9.2195,-1.4286,-2.75,-3.6,-2.2222,-5,0,-4,14,-5,13,-2,3.25,-11,4.4,-2,2.6,0,2.5,0,1.1667,6
25.807,23.4094,18.6815,67.1193,17.1172,23,10.198,16,15.1327,27.1662,4.1231,16.4924,12,23.5372,5,16.7631,13,17.088,5.3852,11.3137,-1.4,-2.75,-3.6,-2.1786,-8.5,0,-5,0,-7.5,9,-4,4,0,4.6,0,3.2,0,2.6667,2.5,1,6
26.9258,24.6982,18.9737,70.2638,17.2627,23,11.1803,17.0294,16.2788,29.1548,4.1231,17.72,13.0384,24.5153,4.1231,15.8114,13.0384,17.088,5.099,11.3137,-1.6429,-2.5556,-3,-2.2069,-5.6667,0,-5.5,17,-5.3333,9.6667,-4,3.4,-13,4.8,-4,3,-13,2.6667,5,1,6
30.2324,26.5707,20.6155,76.5572,19.105,24.0208,9.2195,14.0357,17.1172,29.1548,3.1623,15.5242,14.0357,26.3059,2,14.8661,14,17.4642,4.1231,8.6023,-1.4706,-2.7778,-4,-2.2581,-9.5,-24,-4.5,-14,-8.5,9.6667,-3,3.75,-14,6.5,0,2.8,0,4.25,4,1.4,6
29.6816,25.2982,20.6155,74.8465,20.2237,24,12.1655,16.0312,17.1172,29.2746,5.3852,17.4642,15.0333,25.4951,6,17.088,16,18.0278,7.2801,11.3137,-1.5625,-3,-4,-2.3793,-6.6667,0,-6,16,-8.5,7.25,-2.5,4.25,-15,5,0,2.6667,0,2.8333,3.5,1,6
30.2324,26.5707,20.3961,76.1577,20.2237,24.0208,14.1421,18.1108,19.4165,30.1496,6.3246,17.72,16.0312,26.6833,6.0828,17.088,16,18.7883,6.0828,11.4018,-1.4706,-2.7778,-5,-2.3333,-6.6667,24,-7,9,-4.75,10,-3,3.4,-16,4.3333,-6,2.6667,0,2.125,6,0.7778,6
31.0644,28.7924,21.3776,80.2309,21.587,25.02,13.3417,17.2627,19.6469,30.2655,8.0623,18.6815,17.2627,27.6586,6.7082,17.088,16.1245,18.7883,7,12.8062,-1.5294,-2.7,-5.25,-2.3871,-4.2,25,-4.3333,5.6667,-3.8,7.5,-1.75,3.6,-5.6667,4.5,-2,2.6667,-8,2.125,0,0.8,6
33.8378,30.0832,23.0868,86.3308,20.8806,27,11.7047,18.1108,20.6155,34.0588,5,18.9737,18.0278,30.4138,5,18.7883,17.2627,20.2485,6.0828,12.0416,-1.4737,-2.5455,-3.1429,-2.1081,-3.3333,0,-2.75,9,-2.375,17,-0.75,3,-2.8333,6,-1.3333,2.125,-5.6667,2.7143,-6,0.8889,6
34.6699,29.1548,22.8035,85.9069,24.0416,26.0192,14.3178,17.72,22.8473,32.1403,9.434,20.2485,21.1896,29.4279,8.0623,17.8885,19.6469,19.3132,8.0623,13.0384,-1.5263,-2.4545,-3.6667,-2.1667,-3.2857,26,-4.6667,3.4,-2.3333,10.6667,-1.6,2.7143,-2.8571,5.8,-1.75,2,-3.8,2.5714,-8,0.6364,6
36.3593,30.4631,23.7697,90.3383,23.7697,29,13.9284,20.3961,22.3607,36.1248,7.8102,23.4094,19.6977,33.541,7.8102,22.8473,18.3848,22.8473,8.2462,18.4391,-1.6316,-2.3333,-2.4444,-2.025,-2.4444,0,-2.6,5,-2,12,-1.2,2.75,-2.25,5.5,-1.2,2.3333,-2.4286,2.3333,-4,0.8571,6
36.8917,30.8707,25.0799,92.5905,21.9317,30.0167,11.1803,20.2237,20.5913,36.1248,7.2111,23.0868,18.7883,32.5576,6.7082,19.6977,18.9737,22.1359,7.2801,14.8661,-1.55,-2.1538,-2.3,-1.907,-2.2222,-30,-2,6.6667,-1.8,12,-0.6667,3.1429,-2.125,5.3333,-0.5,2.25,-3,3,-3.5,0.9091,6
32.8024,31.7805,24.0416,87.6584,23.4094,27.074,14.5602,19.105,23.0868,35.0143,8.544,21.587,21.587,32.1403,8.544,19.6469,20.3961,22.1359,10.0499,14.8661,-1.3,-2.2308,-3.2857,-1.95,-2.75,-13.5,-3.5,9.5,-3.1429,35,-2.6667,4.2,-4.2,10.6667,-2.6667,3.8,-5,3,-10,1.1,6
34.8281,31.7805,24.0416,89.4707,22.1359,28.0713,13.6015,20.025,21.1896,34.0147,10.2956,23.1948,20.8806,31.1448,9.4868,20.8806,19.6469,20.8806,11,16.2788,-1.2273,-2.2308,-3.2857,-1.881,-3,-14,-3.25,20,-2.8571,34,-1.8,7.6667,-3.3333,10.3333,-3,3.3333,-3.8,3.3333,0,1.0909,6
34.8281,31.7805,25.2982,90.824,24.6982,28.0713,15.8114,20.0998,24.6982,36,10.2956,22.3607,22.8035,32.1403,10.7703,20.6155,21.587,23.0868,10.0499,15.5563,-1.2273,-2.2308,-3,-1.8605,-2.5556,-14,-3,10,-2.5556,0,-1.8,5.5,-3.6667,10.6667,-2.5,4,-4.2,3.1429,-10,1,6
34.2053,31.0161,25,89,24.0416,26.0192,14.5602,17.1172,23.0868,33.0606,8.9443,19.6469,20.8806,31.257,8.9443,19.9249,19.6469,22.8035,10.0499,16.4012,-1.2857,-2.6364,-3.4286,-2.0513,-3.2857,-26,-3.5,8.5,-3.1429,16.5,-2,3.8,-3.3333,7.75,-2,3.1667,-3.8,3.6667,-10,1.3,6
34.0588,30.4631,24.0416,87.2353,22.4722,28.0179,11.7047,18.2483,21.5407,34.0588,7.0711,19.6469,18.9737,31.257,5.6569,18.0278,18.0278,21.587,7.2801,14.2127,-1.1818,-2.3333,-3.2857,-1.878,-2.625,-28,-2.75,6,-2.5,17,-1,3.8,-3,7.75,-1,2.8333,-2.8333,4.2,-3.5,1.2222,6
31.241,28.6356,23.0868,81.8841,22.8473,26.0192,14.3178,18.1108,22.3607,33.0151,8.4853,19.6469,18.3576,30.0666,6.4031,18.9737,17.8885,20.6155,7.6158,14.8661,-1.2,-2.1667,-3.1429,-1.8462,-2.3333,-26,-2.1667,9,-2,33,-1,3.8,-1.7778,15,-0.8,3,-2,4,-2.3333,1.1,6
32.0156,28.2312,21.9317,81.4923,21.095,27.1662,11.6619,19.105,20.2485,33,6.7082,19.6469,17.4929,30.1496,7.2111,19.9249,17,20.8806,7.6158,16.2788,-1.25,-2.3636,-2.2222,-1.775,-1.6364,-9,-1.6667,9.5,-1.5455,0,-0.5,3.8,-1.6667,10,-0.6667,3.1667,-1.875,3.3333,-2.3333,1.0909,6
32.2025,27.313,22.1359,80.9506,17.8885,27.0185,10.2956,20.0998,16.4012,32.0156,6.7082,22.561,14.2127,28.1603,5.831,21.1896,15,20.6155,6.4031,16.4012,-1.3684,-2.2727,-3,-1.9459,-2,-27,-1.8,10,-1.3,32,-0.5,4.4,-1.2222,9.3333,-0.6,2.8571,-1.3333,4,-1.25,1.3,6
31.4006,26.9258,20.2237,76.9675,18.6815,23.0217,9.4868,14.3178,17.088,29.0689,4.4721,15.5242,13.9284,25.318,3.1623,14.3178,13,18.4391,3.6056,11.4018,-1.3158,-2.5,-6.6667,-2.1875,-3.6,23,-3,4.6667,-2.6667,14.5,-0.5,3.75,-2.6,6.25,-0.3333,2.1667,-2.4,4.5,-1.5,1.2857,6
30.2324,28.4605,20.3961,78,20.2237,25.02,10.198,15,17.2627,31.0161,1.4142,15.2971,14.1421,26.3059,1,13,13.1529,17.72,4,10.6301,-1.4706,-3,-5,-2.4,-6.6667,-25,-5,0,-5.6667,31,-1,5,-7,6.5,0,2.4,-6.5,3.4,0,1.1429,6
29.4109,26.2488,20.0998,74.0945,19.0263,24.0208,11.1803,16.1245,17,29.0689,4.1231,16.2788,14.0357,25.318,2.2361,13.6015,12,17.4642,4.1231,10.2956,-1.4118,-3.125,-10,-2.5556,-19,-24,-5.5,-8,0,14.5,4,5.3333,14,6.25,2,3.25,0,4.25,4,1.8,6
27.0185,22.4722,17.4642,65.7419,17.0294,20.0998,9.0554,12.1655,15.0333,25,4,14.0357,11,22.0227,2.2361,13.1529,11.0454,16.1245,4.1231,9.2195,-1.2353,-2.625,-4.25,-2.0345,-17,-10,-9,-6,-15,0,0,14,0,22,2,6.5,11,8,4,4.5,6
27.0185,23.4094,17.4642,66.6408,17.0294,21.095,9.0554,13.6015,14.0357,25,3.1623,14,10.198,22.0907,1.4142,13.0384,10.0499,16.1245,4.1231,10.198,-1.2353,-2.75,-4.25,-2.069,17,-10.5,-9,-3.25,14,0,3,0,5,11,1,13,10,8,4,5,6
26.4008,23.4094,17.1172,65.3911,17.0294,21.095,8,12.3693,15.1327,26,2.8284,13,11.1803,23.0217,3.1623,13.1529,10.198,16.1245,4.4721,10.198,-1.3125,-2.75,-8.5,-2.3077,17,-10.5,0,-4,7.5,0,1,0,5.5,23,0.3333,6.5,5,8,2,5,6
25.6125,22.1359,18.1108,64.0781,15,21.095,8.0623,14.3178,13.0384,26.0192,2.2361,15.0333,11.0454,23.0868,3.6056,14.5602,10.0499,17.2627,4.4721,11.7047,-1.25,-3,-9,-2.36,0,-10.5,-8,-4.6667,13,26,2,15,11,11.5,0.6667,3.5,10,5.6667,2,2.75,6
22.0227,19.9249,17.0294,57.0088,14.0357,19.0263,8,13.1529,12.0416,24.0208,4.1231,16.0312,9.2195,22.2036,2.8284,15.2971,8.2462,16.2788,5,12.6491,-1.2143,-3.1667,-17,-2.5238,14,-19,0,-6.5,12,24,4,16,4.5,7.3333,1,5,4,5.3333,1.3333,3,6
24.4131,21.587,16.1245,60.7454,14.1421,19.105,6,11.7047,13.1529,24,3.6056,13.0384,10.198,22.0907,2.2361,13.1529,8.2462,15.1327,4.4721,11.1803,-1.4286,-4.2,-8,-2.7143,7,-9.5,0,-2.75,6.5,0,0.6667,13,5,11,0.5,6.5,4,7.5,2,5.5,6
23.0217,19.6469,16,56.921,15.1327,18.1108,7.0711,10.4403,13.1529,22.0227,5,12.0416,9.4868,19.0263,4.2426,13.0384,8.2462,14.1421,5,10.4403,-1.4615,-3.8,0,-3,7.5,-9,7,-3.3333,6.5,-22,0.75,12,3,19,1,13,4,7,1.3333,3.3333,6
22.8035,20.6155,16.0312,57.5847,15.1327,18.2483,9.0554,12.6491,15.1327,23.0217,5,12,11.7047,20.025,5,12.0416,9.2195,15.0333,5,10.198,-1.2857,-4,-16,-2.7,7.5,-6,9,-3,7.5,-23,1.3333,0,2.75,20,0.75,12,4.5,15,1.3333,5,6
22.2036,20.8806,15.0333,56.648,16,18.2483,9,11.4018,14.1421,21.0238,5.831,12,10.198,19.0263,3.6056,12.0416,9.2195,14.0357,5,9.2195,-1.3846,-3.3333,-15,-2.65,0,-6,0,-3.6667,7,-21,1.6667,0,5,19,1.5,12,4.5,14,1.3333,4.5,6
25,24.1868,15.6205,64.6375,16.7631,22.2036,11.1803,17,15.5242,26.9258,7.6158,18.9737,13.9284,23.4094,8.9443,18.3848,12.6491,16.1555,8.6023,12.2066,-1.3333,-1.75,-1.2,-1.4324,3.2,7.3333,5.5,0,3.75,3.7143,2.3333,3,2.6,2.75,2,2.4286,3,2.5,1.4,1.4286,6
25.807,23.3238,15.6205,64.6375,17.2627,21.095,11.1803,15.0333,16.2788,25.7099,6.3246,15.8114,14.3178,24.0416,6.3246,16.1555,12.3693,16.1555,7.2111,11.4018,-1.4,-1.6667,-1.2,-1.4324,5.6667,10.5,5.5,15,5.3333,4.1667,3,3,4.6667,3.2857,3,2.5,4,2.5,1.5,1.2857,6
24.0832,21.4009,16.4012,61.8466,19.0263,21,11.0454,13,17.1172,26.0768,6.0828,15.8114,14,23.3452,7.0711,16.7631,14,16.7631,7.6158,12.0416,-1.125,-1.3077,-1.3,-1.2308,-19,0,-11,0,-8.5,13,6,3,0,5.75,7,3.2,0,3.2,2.3333,1.125,6
24.2074,22.3607,14.1421,59.4811,14.1421,20.8806,4.1231,11,12.53,24.3311,5.6569,14.3178,8.544,20.025,5,14.3178,8.0623,15.1327,4.1231,13,-0.7895,-0.5,-0.1429,-0.5094,-1,-3.3333,-0.25,0,-0.5455,-6,1,4.6667,-0.375,-20,0.75,4.6667,-0.5714,7.5,-0.25,2.4,6
22.8035,22.8035,15.2315,60.4649,14.3178,20.3961,7.0711,13.1529,12.6491,25.0799,1.4142,14.3178,12.0416,22.0907,2,12.3693,13.0384,16.2788,5.099,8.544,-0.7778,-0.7778,-0.4286,-0.68,-4.6667,-5,-7,-6.5,-3,-12.5,1,4.6667,-12,11,0,4,13,5.3333,5,2.6667,6
22.8035,25.4951,15,63.2535,16.0312,22.0907,8.0623,14.1421,15.2971,28,1.4142,14.5602,13.0384,23.0868,4.1231,14.5602,13.0384,16.4924,6.0828,9.8489,-0.7778,-0.8947,-0.75,-0.8163,-16,-11,-8,-7,-5,0,1,3.5,-13,11.5,4,3.5,13,4,6,2.25,6
23.4307,24.0416,14.8661,62.2896,18,21.3776,10.0499,13.3417,16,24.0832,6.7082,14.0357,14.0357,21,7.6158,14.1421,12.0416,15,6.7082,9.2195,-0.8333,-1,-0.9091,-0.913,0,-5.25,10,-4.3333,0,-12,2,14,14,0,2.3333,7,12,0,2,4.5,6
23.3452,22.2036,14.8661,60.1415,17.0294,19.2354,9.0554,11.4018,16.0312,23.0217,6.7082,13.0384,13.1529,20.025,7.6158,14.1421,13.1529,15.0333,7.6158,9.2195,-0.9412,-1.3846,-0.9091,-1.0732,17,-6.3333,9,-3.6667,16,-23,2,13,6.5,20,2.3333,7,6.5,15,2.3333,4.5,6
20.5183,23.8537,15.8114,59.8164,17.1172,20.0998,11.1803,14.1421,15.1327,25.02,5.6569,14.3178,14.3178,22.2036,6.7082,14.3178,12.6491,15.2971,7.2111,9.4868,-0.9333,-1.5385,-1.4444,-1.2703,8.5,-10,5.5,-7,7.5,25,1,4.6667,4.6667,7.3333,2,4.6667,3,5,1.5,3,6
20.5183,21.9545,15.8114,57.8014,17.2627,19.0263,12.0416,14.3178,15.0333,24,6.7082,15.1327,13.3417,20.0998,7.6158,14.1421,12.3693,14.3178,6.3246,8.2462,-0.9333,-1.7273,-1.4444,-1.3143,5.6667,-19,12,-4.6667,15,0,2,7.5,4.3333,10,2.3333,7,4,4.6667,3,4,6
21.9317,23.6008,16.4012,61.7171,16.0312,20.0998,10.0499,14.1421,15.2971,25,6,16.2788,13.0384,22.0907,7,16.2788,13.0384,15.5242,7.0711,9.8489,-0.9375,-1.3571,-1.3,-1.175,-16,-10,-10,-7,-5,0,0,5.3333,-13,11,0,5.3333,13,3.75,7,2.25,6
23.3452,23.0217,16.4012,62.482,16.2788,19.0263,10.198,13,15.2971,24.0208,7.0711,16.2788,14.3178,22.0227,8,16.4924,14.0357,16.2788,7.0711,10.2956,-0.9412,-1.4615,-1.3,-1.2,-5.3333,-19,-5,0,-5,24,-7,5.3333,-4.6667,22,0,4,-14,5.3333,7,1.8,6
21.2603,22.8035,16.6433,60.3075,15.5242,20.0998,10.198,15,14.5602,26.0192,5.099,17.4642,14.3178,22.0907,6.0828,14.5602,14.0357,15.5242,6,8.6023,-0.875,-1.2857,-1.5556,-1.1795,-3.75,-10,-5,0,-3.5,26,-5,4.25,-4.6667,11,-6,3.5,-14,3.75,0,1.4,6
21.9317,21.4009,15.8114,58.8982,15.5242,20.0998,10.0499,15.0333,14.3178,25.02,5,16.4924,13.1529,22.0907,5,14.5602,13.0384,15.2971,7.0711,10.2956,-0.9375,-1.3077,-1.4444,-1.1842,-3.75,-10,-10,15,-4.6667,25,0,4,-6.5,11,0,3.5,-13,5,7,1.8,6
21.2132,22.2036,14.4222,57.6281,14.3178,19.105,8,13.0384,13.3417,24.0208,3,14.5602,12.0416,20.0998,3,11.4018,12.0416,15.5242,5,8.544,-1,-1.3846,-1.5,-1.25,-4.6667,-9.5,0,13,-4.3333,24,0,3.5,-12,10,0,3.6667,12,3.75,0,2.6667,6
21.9317,21.6333,15.6525,58.8218,15.1327,19,9.0554,13.0384,13.0384,22.0907,4.4721,13.3417,12.1655,19.2354,6.3246,13.3417,13.1529,14.3178,7.6158,8.9443,-1.0667,-1.5,-2,-1.4118,7.5,0,9,-13,13,11,2,4.3333,6,6.3333,3,4.3333,6.5,4.6667,2.3333,2,6
23.6008,21.0238,15.8114,59.9416,16.1245,17,9.2195,10,14.1421,21.095,5.3852,12.1655,11.4018,18.2483,4.4721,11.1803,10.198,14.3178,4.4721,8.544,-1.3571,-2.1111,-3,-1.8929,8,0,4.5,0,7,10.5,2.5,6,3.6667,6,2,5.5,5,4.6667,2,2.6667,6
24.6982,23.0868,16.7631,64.0781,16.2788,18.1108,9.2195,11.0454,14.1421,23.3452,3.6056,12.083,11.7047,20.8806,2.8284,11.7047,11.4018,14.8661,5.831,9.434,-1.6154,-3.1429,-3.2,-2.36,5.3333,9,4.5,11,7,5.75,0.6667,2.2,2.75,3.3333,1,2.75,3.6667,2.8,1.6667,1.6,6
26.4197,24.0416,18.2483,68.0074,17.4642,22.2036,8.2462,13.0384,15.5242,25.7099,3,11.1803,13.6015,21.8403,3.6056,11.1803,11.7047,17.088,5,10.2956,-1.7692,-3.2857,-6,-2.7826,4.25,7.3333,4,13,3.75,4.1667,0,2,3.25,3.5,0.6667,2,2.75,2.6667,1.3333,1.8,6
29.0689,28.1603,20.2237,76.844,18.0278,24.5153,10.4403,17.1172,15.8114,29.4109,3.6056,16.5529,13.9284,24.6982,4.2426,14.7648,13,17.8885,5.6569,10.6301,-2,-3.375,-6.6667,-3.0417,2.8333,4.8,3.3333,8.5,3,3.1111,0.6667,2.1429,2.6,2.5556,1,1.8571,2.4,2,1,1.1429,6
39.3954,38.833,27.074,104.2929,22.1359,32.0156,11.7047,21.587,20.6155,38.6264,2.2361,18.6011,17.4642,31.305,4.4721,17.8045,17,22.2036,8.4853,14.2127,-2.25,-4.75,-13.5,-3.8846,3,3.875,2.75,4.2,4,2.5714,-0.5,1.3636,2.2857,2,0.5,1.2727,1.875,1.3846,1,0.8182,6
51.8845,47.1699,35.171,133.7012,29.8329,38.2099,16.2788,26.2488,29.8329,48.2701,7.8102,27.2947,27.2947,41.4367,9.4868,25.807,27.0185,28.8444,11.4018,19.6977,-1.9167,-2.5882,-3.7778,-2.48,-4.1429,9.5,-5.3333,3.125,-4.1429,4.2727,-1.2,1.8462,-6.75,2.7857,-3,1.4,27,1.5,3.6667,0.4444,6
55.0364,46.2385,33.6155,134.8518,32.5576,42.2966,16.4924,26.9258,31.7805,51.4198,10,29.9666,26.3059,44.2719,8.0623,26.9258,23.0217,29.0689,9.0554,17.6918,-2.1739,-2.5294,-2.3846,-2.3396,-5.3333,8.4,-4,3.7143,-4.4286,4.1667,-1.3333,2.0769,-6.5,3,-1.75,1.6429,-23,2,-9,0.9231,6
