d(1~2),d(2~3),d(3~4),d(1~4),d(5~6),d(6~7),d(7~8),d(5~8),d(9~10),d(10~11),d(11~12),d(9~12),d(13~14),d(14~15),d(15~16),d(13~16),d(17~18),d(18~19),d(19~20),d(17~20),g(1~2),g(2~3),g(3~4),g(1~4),g(5~6),g(6~7),g(7~8),g(5~8),g(9~10),g(10~11),g(11~12),g(9~12),g(13~14),g(14~15),g(15~16),g(13~16),g(17~18),g(18~19),g(19~20),g(17~20),label
24.3516,24.7386,19.8494,62.9682,20.0998,23,11,14.1421,19.2354,29.1548,7.0711,17.0294,17.4642,26.9258,8.2462,17.72,16.1245,17.088,8.0623,10.6301,-2.875,4,1.1538,5.6364,10,0,0,-7,6.3333,9.6667,7,17,4.25,3.7143,4,3.4,8,2.6667,1.75,0.875,0
29.1548,25.2982,18.3576,61.3922,23.0217,23.0217,13.0384,13.0384,17.2627,28.0713,6.3246,17.0294,11.4018,25.318,5,18.4391,15.1327,18.4391,6.7082,10.2956,-2.4545,3,0.5625,4.6154,23,-23,13,-13,5.6667,14,3,17,3.6667,6.25,1.3333,4.5,7.5,4.5,2,1.8,0
25.7099,23.2594,18.6011,60.0833,21.587,21.095,15.0333,15.1327,21.587,29.6142,10.4403,18.4391,18.0278,27.313,10.4403,19.6977,16.4924,17.4929,8.0623,10.8167,-4.1667,2.1,0.7333,3,4.2,10.5,15,-7.5,4.2,4.8333,3.3333,4.5,2.8333,2.2727,3.3333,2.25,4,1.6667,1.75,0.6667,0
32.28,25.0599,20.2237,60.5392,21.095,25.318,7.0711,11.0454,23.1948,29.8329,4.1231,10.4403,14.3178,27.8568,3.1623,17,15.0333,19.2354,5.3852,12.2066,-3.4444,1.8333,0.15,2.4348,10.5,6.25,-7,11,7.6667,4.1429,-4,3.3333,4.6667,2.6,3,1.875,15,1.8889,2.5,0.7,0
32.8938,26,19.4165,61.6847,22,23.0868,7.0711,8.0623,22.0907,29.4279,3.1623,10.198,14.1421,28.1603,1.4142,15.6525,15.0333,20.2485,5.099,11.4018,-2.8182,2.4,0.2105,3.2778,0,11.5,-7,8,11,5.8,-3,5,7,3.375,1,2,15,2.7143,5,1.2857,0
33.2415,27.2029,19.4165,62.8172,24.0832,25.318,8.0623,8.2462,23.0868,30.8058,5.6569,12.083,15.2971,29.4109,4.4721,17,13.9284,18.7883,5.3852,14.2127,-2.5833,3.25,0.2105,4.0667,-12,6.25,-1.75,4,-11.5,4.2857,-1,2.2,-5,3.1111,-0.5,1.875,-2.6,2.125,-2.5,0.8182,0
32.6956,26.2488,18.2483,59.439,21.587,23.0868,7.2111,8.544,20.3961,29.6142,5.3852,12.083,11.7047,27.2029,4.1231,17.8885,13,18.7883,5.3852,14.8661,-2.3077,3.125,0.1667,4.4615,-4.2,11.5,-1.5,2.6667,-5,4.8333,-0.4,2.2,-2.75,3.25,-0.25,2,-2.4,2.125,-2.5,0.9091,0
33.1059,24.7386,17.72,59.6825,23.0868,25.318,8.0623,12.2066,20.2485,31.5753,6.7082,16.5529,14.4222,29.1204,6.7082,21.4709,15.2643,19.3132,6.7082,16.2788,-2.1429,4,0.2941,6.5556,-3.1429,6.25,-1.75,1.4286,-2.7143,5.1667,-0.5,2.1429,-1.5,3.5,-0.5,1.9,-1.625,2.5714,-2,0.9167,0
33.541,25.1794,18.0278,61.2046,22.4722,25.0799,7.0711,10.2956,18.7883,31.4006,6.3246,17.4642,12.8062,28.8617,6.3246,21.9317,13.6015,19.3132,5.831,16.9706,-2,8.3333,0.3529,12.2,-2.625,12.5,-1,1.8,-2.125,6.2,-0.3333,2.2857,-1.25,4,-0.3333,2.2222,-1.375,2.5714,-1.6667,1,0
32.6497,27.074,18.3848,63.1269,21.9317,26.1725,7.8102,13.8924,21.095,34.3657,8.2462,19.6977,15.6205,30.5941,7.0711,23.7065,15.5563,20.2485,6.4031,19.105,-1.9333,13.5,0.4118,15.75,-2.2222,8.6667,-1.2,1.7143,-1.6364,6.8,-0.25,2.25,-0.8333,5,-0.1429,1.9091,-1,2.7143,-1.25,0.9286,0
